image,dilution,dilution_label,tile_idx,position_y,position_x,architecture,density_threshold_0.2,density_threshold_0.5,density_threshold_0.8,density_threshold_0.95,density_clahe_otsu_pred,density_clahe_otsu_orig
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,8,512,512,Attention_UNet,0.06343460083007812,0.013057708740234375,2.288818359375e-05,0.0,0.9225883483886719,0.035846710205078125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,8,512,512,Attention_ResUNet,0.04094696044921875,0.011302947998046875,8.7738037109375e-05,0.0,0.9382400512695312,0.035846710205078125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,9,512,1024,UNet,0.04508209228515625,0.01590728759765625,0.002140045166015625,0.0,0.9626808166503906,0.0326690673828125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,9,512,1024,Attention_UNet,0.057872772216796875,0.01476287841796875,0.00017547607421875,0.0,0.936248779296875,0.0326690673828125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,9,512,1024,Attention_ResUNet,0.0411224365234375,0.0136260986328125,0.00011444091796875,0.0,0.9430274963378906,0.0326690673828125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,10,512,1536,UNet,0.034351348876953125,0.013256072998046875,0.001552581787109375,0.0,0.9664726257324219,0.024547576904296875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,10,512,1536,Attention_UNet,0.044704437255859375,0.013111114501953125,0.0003204345703125,0.0,0.9406547546386719,0.024547576904296875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,10,512,1536,Attention_ResUNet,0.03362274169921875,0.011775970458984375,0.000232696533203125,0.0,0.9576759338378906,0.024547576904296875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,11,512,2048,UNet,0.04047393798828125,0.016357421875,0.001506805419921875,0.0,0.9597549438476562,0.031070709228515625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,11,512,2048,Attention_UNet,0.0406951904296875,0.014911651611328125,0.000751495361328125,0.0,0.8759613037109375,0.031070709228515625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,11,512,2048,Attention_ResUNet,0.039768218994140625,0.014801025390625,1.52587890625e-05,0.0,0.95489501953125,0.031070709228515625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,12,512,2560,UNet,0.042354583740234375,0.01702880859375,0.001674652099609375,0.0,0.956939697265625,0.039768218994140625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,12,512,2560,Attention_UNet,0.03643798828125,0.013881683349609375,0.00201416015625,1.9073486328125e-05,0.8100509643554688,0.039768218994140625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,12,512,2560,Attention_ResUNet,0.040866851806640625,0.015247344970703125,0.000133514404296875,0.0,0.9483833312988281,0.039768218994140625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,13,512,3072,UNet,0.06389617919921875,0.02532958984375,0.002017974853515625,0.0,0.9337844848632812,0.07495498657226562
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,13,512,3072,Attention_UNet,0.050670623779296875,0.018833160400390625,0.002964019775390625,3.0517578125e-05,0.8146209716796875,0.07495498657226562
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,13,512,3072,Attention_ResUNet,0.06587982177734375,0.023761749267578125,0.00019073486328125,0.0,0.9151535034179688,0.07495498657226562
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,14,1024,0,UNet,0.1102447509765625,0.02118682861328125,0.00077056884765625,0.0,0.8460884094238281,0.04204559326171875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,14,1024,0,Attention_UNet,0.10823822021484375,0.016071319580078125,7.62939453125e-06,0.0,0.7278671264648438,0.04204559326171875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,14,1024,0,Attention_ResUNet,0.040019989013671875,0.01012420654296875,7.62939453125e-06,0.0,0.9457130432128906,0.04204559326171875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,15,1024,512,UNet,0.08056640625,0.0176239013671875,0.001190185546875,0.0,0.9043655395507812,0.037395477294921875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,15,1024,512,Attention_UNet,0.06960678100585938,0.01235198974609375,2.6702880859375e-05,0.0,0.8633918762207031,0.037395477294921875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,15,1024,512,Attention_ResUNet,0.037784576416015625,0.010799407958984375,8.7738037109375e-05,0.0,0.9514656066894531,0.037395477294921875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,16,1024,1024,UNet,0.048343658447265625,0.013332366943359375,0.000701904296875,0.0,0.9524765014648438,0.026760101318359375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,16,1024,1024,Attention_UNet,0.04955291748046875,0.011077880859375,7.62939453125e-06,0.0,0.9412879943847656,0.026760101318359375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,16,1024,1024,Attention_ResUNet,0.033855438232421875,0.010189056396484375,3.814697265625e-06,0.0,0.9527702331542969,0.026760101318359375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,17,1024,1536,UNet,0.038913726806640625,0.013217926025390625,0.0010528564453125,0.0,0.9658546447753906,0.028057098388671875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,17,1024,1536,Attention_UNet,0.05068206787109375,0.01206207275390625,6.866455078125e-05,0.0,0.9426078796386719,0.028057098388671875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,17,1024,1536,Attention_ResUNet,0.033908843994140625,0.011005401611328125,4.9591064453125e-05,0.0,0.9531822204589844,0.028057098388671875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,18,1024,2048,UNet,0.033870697021484375,0.0126953125,0.00110626220703125,0.0,0.9609832763671875,0.038349151611328125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,18,1024,2048,Attention_UNet,0.04235076904296875,0.012233734130859375,6.866455078125e-05,0.0,0.9302749633789062,0.038349151611328125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,18,1024,2048,Attention_ResUNet,0.03151702880859375,0.010822296142578125,5.7220458984375e-05,0.0,0.9604873657226562,0.038349151611328125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,19,1024,2560,UNet,0.039463043212890625,0.0150299072265625,0.00075531005859375,0.0,0.9549751281738281,0.033893585205078125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,19,1024,2560,Attention_UNet,0.04073333740234375,0.013210296630859375,0.00040435791015625,0.0,0.8831596374511719,0.033893585205078125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,19,1024,2560,Attention_ResUNet,0.03702545166015625,0.01306915283203125,3.0517578125e-05,0.0,0.95538330078125,0.033893585205078125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,20,1024,3072,UNet,0.0599212646484375,0.0236053466796875,0.001575469970703125,0.0,0.9372634887695312,0.06014251708984375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,20,1024,3072,Attention_UNet,0.0596923828125,0.020137786865234375,0.000911712646484375,0.0,0.84576416015625,0.06014251708984375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,20,1024,3072,Attention_ResUNet,0.054965972900390625,0.01975250244140625,8.392333984375e-05,0.0,0.9342994689941406,0.06014251708984375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,21,1536,0,UNet,0.12603378295898438,0.023181915283203125,0.000782012939453125,0.0,0.8273773193359375,0.048725128173828125
