image,dilution,dilution_label,tile_idx,position_y,position_x,density
80x_2_2025-05-22_14-48-00.tif,80,80x,9,512,1024,0.5598068
80x_2_2025-05-22_14-48-00.tif,80,80x,10,512,1536,0.5509834
80x_2_2025-05-22_14-48-00.tif,80,80x,11,512,2048,0.5605774
80x_2_2025-05-22_14-48-00.tif,80,80x,12,512,2560,0.5431061
80x_2_2025-05-22_14-48-00.tif,80,80x,13,512,3072,0.5321007
80x_2_2025-05-22_14-48-00.tif,80,80x,14,1024,0,0.5649338
80x_2_2025-05-22_14-48-00.tif,80,80x,15,1024,512,0.55841446
80x_2_2025-05-22_14-48-00.tif,80,80x,16,1024,1024,0.5173874
80x_2_2025-05-22_14-48-00.tif,80,80x,17,1024,1536,0.52305603
80x_2_2025-05-22_14-48-00.tif,80,80x,18,1024,2048,0.51436234
80x_2_2025-05-22_14-48-00.tif,80,80x,19,1024,2560,0.5354271
80x_2_2025-05-22_14-48-00.tif,80,80x,20,1024,3072,0.50541687
80x_2_2025-05-22_14-48-00.tif,80,80x,21,1536,0,0.54712677
80x_2_2025-05-22_14-48-00.tif,80,80x,22,1536,512,0.53247833
80x_2_2025-05-22_14-48-00.tif,80,80x,23,1536,1024,0.5112915
80x_2_2025-05-22_14-48-00.tif,80,80x,24,1536,1536,0.49927902
80x_2_2025-05-22_14-48-00.tif,80,80x,25,1536,2048,0.50193405
80x_2_2025-05-22_14-48-00.tif,80,80x,26,1536,2560,0.48913193
80x_2_2025-05-22_14-48-00.tif,80,80x,27,1536,3072,0.49741745
