image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold,density_clahe_otsu_pred,density_clahe_otsu_orig
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,14,1024,0,0.008865356,0.8085556030273438,0.6348991394042969
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,15,1024,512,0.007499695,0.9011878967285156,0.6108207702636719
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,16,1024,1024,0.0065345764,0.9521484375,0.5489959716796875
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,17,1024,1536,0.0058898926,0.9709701538085938,0.6000862121582031
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,18,1024,2048,0.0048103333,0.9337081909179688,0.6453475952148438
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,19,1024,2560,0.005104065,0.9522132873535156,0.5206336975097656
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,20,1024,3072,0.004135132,0.8773269653320312,0.5990676879882812
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,21,1536,0,0.008289337,0.7985572814941406,0.658966064453125
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,22,1536,512,0.007637024,0.8291969299316406,0.6242446899414062
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,23,1536,1024,0.0061531067,0.9031486511230469,0.6119842529296875
